2021,Sunrise/Sunset,,Daylength,,Astronomical Twilight,,Nautical Twilight,,Civil Twilight,,Solar Noon,
5/20/2021,5:40 am ? (61°),8:37 pm ? (300°),14:56:56,+1:58,3:32 AM,10:47 PM,4:23 AM,9:55 PM,5:06 AM,9:11 PM,1:08 pm (66.1°),94.075
5/21/2021,5:39 am ? (60°),8:38 pm ? (300°),14:58:52,+1:55,3:30 AM,10:49 PM,4:22 AM,9:56 PM,5:05 AM,9:13 PM,1:09 pm (66.3°),94.092
5/22/2021,5:39 am ? (60°),8:39 pm ? (300°),15:00:44,+1:52,3:28 AM,10:50 PM,4:20 AM,9:58 PM,5:04 AM,9:14 PM,1:09 pm (66.5°),94.11
5/23/2021,5:38 am ? (60°),8:40 pm ? (301°),15:02:34,+1:49,3:27 AM,10:52 PM,4:19 AM,9:59 PM,5:03 AM,9:15 PM,1:09 pm (66.7°),94.127
5/24/2021,5:37 am ? (59°),8:41 pm ? (301°),15:04:21,+1:46,3:25 AM,10:54 PM,4:18 AM,10:00 PM,5:02 AM,9:16 PM,1:09 pm (66.9°),94.144
5/25/2021,5:36 am ? (59°),8:42 pm ? (301°),15:06:04,+1:43,3:23 AM,10:56 PM,4:17 AM,10:02 PM,5:01 AM,9:17 PM,1:09 pm (67.1°),94.16
5/26/2021,5:35 am ? (59°),8:43 pm ? (301°),15:07:45,+1:40,3:22 AM,10:57 PM,4:16 AM,10:03 PM,5:01 AM,9:18 PM,1:09 pm (67.2°),94.177
5/27/2021,5:35 am ? (59°),8:44 pm ? (302°),15:09:22,+1:37,3:20 AM,10:59 PM,4:15 AM,10:04 PM,5:00 AM,9:19 PM,1:09 pm (67.4°),94.193
5/28/2021,5:34 am ? (58°),8:45 pm ? (302°),15:10:56,+1:34,3:19 AM,11:01 PM,4:14 AM,10:05 PM,4:59 AM,9:20 PM,1:09 pm (67.5°),94.209
5/29/2021,5:33 am ? (58°),8:46 pm ? (302°),15:12:27,+1:30,3:18 AM,11:02 PM,4:13 AM,10:07 PM,4:58 AM,9:21 PM,1:09 pm (67.7°),94.225
5/30/2021,5:33 am ? (58°),8:47 pm ? (302°),15:13:54,+1:27,3:16 AM,11:04 PM,4:12 AM,10:08 PM,4:58 AM,9:22 PM,1:09 pm (67.8°),94.24
5/31/2021,5:32 am ? (58°),8:48 pm ? (302°),15:15:18,+1:23,3:15 AM,11:05 PM,4:11 AM,10:09 PM,4:57 AM,9:23 PM,1:10 pm (68.0°),94.255
6/1/2021,5:32 am ? (57°),8:48 pm ? (303°),15:16:38,+1:20,3:14 AM,11:07 PM,4:10 AM,10:10 PM,4:56 AM,9:24 PM,1:10 pm (68.1°),94.27
6/2/2021,5:31 am ? (57°),8:49 pm ? (303°),15:17:55,+1:16,3:13 AM,11:08 PM,4:10 AM,10:11 PM,4:56 AM,9:25 PM,1:10 pm (68.2°),94.284
6/3/2021,5:31 am ? (57°),8:50 pm ? (303°),15:19:07,+1:12,3:12 AM,11:10 PM,4:09 AM,10:12 PM,4:55 AM,9:26 PM,1:10 pm (68.4°),94.299
6/4/2021,5:30 am ? (57°),8:51 pm ? (303°),15:20:17,+1:09,3:10 AM,11:11 PM,4:08 AM,10:13 PM,4:55 AM,9:26 PM,1:10 pm (68.5°),94.312
6/5/2021,5:30 am ? (57°),8:51 pm ? (303°),15:21:22,+1:05,3:09 AM,11:12 PM,4:08 AM,10:14 PM,4:54 AM,9:27 PM,1:10 pm (68.6°),94.325
6/6/2021,5:30 am ? (57°),8:52 pm ? (304°),15:22:24,+1:01,3:09 AM,11:14 PM,4:07 AM,10:15 PM,4:54 AM,9:28 PM,1:11 pm (68.7°),94.338
6/7/2021,5:29 am ? (56°),8:53 pm ? (304°),15:23:21,+0:57,3:08 AM,11:15 PM,4:06 AM,10:16 PM,4:53 AM,9:29 PM,1:11 pm (68.8°),94.35
6/8/2021,5:29 am ? (56°),8:53 pm ? (304°),15:24:15,+0:53,3:07 AM,11:16 PM,4:06 AM,10:17 PM,4:53 AM,9:29 PM,1:11 pm (68.9°),94.362
6/9/2021,5:29 am ? (56°),8:54 pm ? (304°),15:25:04,+0:49,3:06 AM,11:17 PM,4:06 AM,10:17 PM,4:53 AM,9:30 PM,1:11 pm (69.0°),94.373
6/10/2021,5:29 am ? (56°),8:54 pm ? (304°),15:25:50,+0:45,3:05 AM,11:18 PM,4:05 AM,10:18 PM,4:53 AM,9:31 PM,1:11 pm (69.0°),94.384
6/11/2021,5:29 am ? (56°),8:55 pm ? (304°),15:26:31,+0:41,3:05 AM,11:19 PM,4:05 AM,10:19 PM,4:52 AM,9:31 PM,1:12 pm (69.1°),94.394
6/12/2021,5:28 am ? (56°),8:56 pm ? (304°),15:27:09,+0:37,3:04 AM,11:20 PM,4:05 AM,10:19 PM,4:52 AM,9:32 PM,1:12 pm (69.2°),94.404
6/13/2021,5:28 am ? (56°),8:56 pm ? (304°),15:27:42,+0:33,3:04 AM,11:21 PM,4:04 AM,10:20 PM,4:52 AM,9:32 PM,1:12 pm (69.2°),94.413
6/14/2021,5:28 am ? (56°),8:56 pm ? (304°),15:28:11,+0:28,3:04 AM,11:21 PM,4:04 AM,10:21 PM,4:52 AM,9:33 PM,1:12 pm (69.3°),94.421
6/15/2021,5:28 am ? (56°),8:57 pm ? (304°),15:28:36,+0:24,3:03 AM,11:22 PM,4:04 AM,10:21 PM,4:52 AM,9:33 PM,1:12 pm (69.3°),94.429
6/16/2021,5:28 am ? (56°),8:57 pm ? (304°),15:28:56,+0:20,3:03 AM,11:23 PM,4:04 AM,10:22 PM,4:52 AM,9:34 PM,1:13 pm (69.3°),94.437
6/17/2021,5:28 am ? (56°),8:58 pm ? (305°),15:29:12,+0:16,3:03 AM,11:23 PM,4:04 AM,10:22 PM,4:52 AM,9:34 PM,1:13 pm (69.4°),94.444
6/18/2021,5:28 am ? (55°),8:58 pm ? (305°),15:29:24,+0:11,3:03 AM,11:24 PM,4:04 AM,10:22 PM,4:52 AM,9:34 PM,1:13 pm (69.4°),94.451
6/19/2021,5:29 am ? (55°),8:58 pm ? (305°),15:29:32,+0:07,3:03 AM,11:24 PM,4:04 AM,10:23 PM,4:52 AM,9:35 PM,1:13 pm (69.4°),94.457
6/20/2021,5:29 am ? (55°),8:58 pm ? (305°),15:29:35,+0:03,3:03 AM,11:24 PM,4:04 AM,10:23 PM,4:52 AM,9:35 PM,1:14 pm (69.4°),94.463
6/21/2021,5:29 am ? (55°),8:59 pm ? (305°),15:29:34,< 1s,3:03 AM,11:24 PM,4:05 AM,10:23 PM,4:53 AM,9:35 PM,1:14 pm (69.4°),94.469
6/22/2021,5:29 am ? (55°),8:59 pm ? (305°),15:29:29,?0:05,3:04 AM,11:24 PM,4:05 AM,10:23 PM,4:53 AM,9:35 PM,1:14 pm (69.4°),94.474
6/23/2021,5:30 am ? (55°),8:59 pm ? (305°),15:29:20,?0:09,3:04 AM,11:24 PM,4:05 AM,10:23 PM,4:53 AM,9:35 PM,1:14 pm (69.4°),94.479
6/24/2021,5:30 am ? (55°),8:59 pm ? (304°),15:29:06,?0:13,3:04 AM,11:24 PM,4:06 AM,10:23 PM,4:53 AM,9:35 PM,1:14 pm (69.3°),94.483
6/25/2021,5:30 am ? (56°),8:59 pm ? (304°),15:28:48,?0:17,3:05 AM,11:24 PM,4:06 AM,10:23 PM,4:54 AM,9:35 PM,1:15 pm (69.3°),94.488
6/26/2021,5:31 am ? (56°),8:59 pm ? (304°),15:28:26,?0:22,3:05 AM,11:24 PM,4:06 AM,10:23 PM,4:54 AM,9:35 PM,1:15 pm (69.3°),94.492
6/27/2021,5:31 am ? (56°),8:59 pm ? (304°),15:28:00,?0:26,3:06 AM,11:24 PM,4:07 AM,10:23 PM,4:55 AM,9:35 PM,1:15 pm (69.2°),94.495
6/28/2021,5:31 am ? (56°),8:59 pm ? (304°),15:27:29,?0:30,3:07 AM,11:23 PM,4:07 AM,10:23 PM,4:55 AM,9:35 PM,1:15 pm (69.2°),94.499
6/29/2021,5:32 am ? (56°),8:59 pm ? (304°),15:26:54,?0:34,3:08 AM,11:23 PM,4:08 AM,10:23 PM,4:56 AM,9:35 PM,1:15 pm (69.1°),94.502
6/30/2021,5:32 am ? (56°),8:59 pm ? (304°),15:26:15,?0:38,3:09 AM,11:22 PM,4:09 AM,10:22 PM,4:56 AM,9:35 PM,1:16 pm (69.1°),94.504
7/1/2021,5:33 am ? (56°),8:59 pm ? (304°),15:25:33,?0:42,3:09 AM,11:22 PM,4:09 AM,10:22 PM,4:57 AM,9:35 PM,1:16 pm (69.0°),94.507
7/2/2021,5:34 am ? (56°),8:58 pm ? (304°),15:24:46,?0:46,3:11 AM,11:21 PM,4:10 AM,10:21 PM,4:57 AM,9:34 PM,1:16 pm (68.9°),94.508
7/3/2021,5:34 am ? (56°),8:58 pm ? (304°),15:23:55,?0:50,3:12 AM,11:20 PM,4:11 AM,10:21 PM,4:58 AM,9:34 PM,1:16 pm (68.8°),94.51
7/4/2021,5:35 am ? (56°),8:58 pm ? (304°),15:23:00,?0:54,3:13 AM,11:19 PM,4:12 AM,10:21 PM,4:59 AM,9:34 PM,1:16 pm (68.8°),94.511
7/5/2021,5:35 am ? (57°),8:57 pm ? (303°),15:22:01,?0:58,3:14 AM,11:18 PM,4:13 AM,10:20 PM,4:59 AM,9:33 PM,1:17 pm (68.7°),94.511
7/6/2021,5:36 am ? (57°),8:57 pm ? (303°),15:20:58,?1:02,3:15 AM,11:17 PM,4:14 AM,10:19 PM,5:00 AM,9:33 PM,1:17 pm (68.6°),94.511
7/7/2021,5:37 am ? (57°),8:57 pm ? (303°),15:19:52,?1:06,3:16 AM,11:16 PM,4:14 AM,10:19 PM,5:01 AM,9:32 PM,1:17 pm (68.4°),94.51
7/8/2021,5:38 am ? (57°),8:56 pm ? (303°),15:18:42,?1:10,3:18 AM,11:15 PM,4:15 AM,10:18 PM,5:02 AM,9:32 PM,1:17 pm (68.3°),94.509
7/9/2021,5:38 am ? (57°),8:56 pm ? (303°),15:17:28,?1:13,3:19 AM,11:14 PM,4:16 AM,10:17 PM,5:03 AM,9:31 PM,1:17 pm (68.2°),94.507
7/10/2021,5:39 am ? (57°),8:55 pm ? (302°),15:16:10,?1:17,3:21 AM,11:13 PM,4:17 AM,10:17 PM,5:04 AM,9:31 PM,1:17 pm (68.1°),94.504
7/11/2021,5:40 am ? (58°),8:55 pm ? (302°),15:14:49,?1:21,3:22 AM,11:12 PM,4:19 AM,10:16 PM,5:04 AM,9:30 PM,1:17 pm (67.9°),94.501
7/12/2021,5:41 am ? (58°),8:54 pm ? (302°),15:13:25,?1:24,3:24 AM,11:10 PM,4:20 AM,10:15 PM,5:05 AM,9:29 PM,1:18 pm (67.8°),94.498
7/13/2021,5:42 am ? (58°),8:53 pm ? (302°),15:11:57,?1:27,3:25 AM,11:09 PM,4:21 AM,10:14 PM,5:06 AM,9:29 PM,1:18 pm (67.7°),94.494
7/14/2021,5:42 am ? (58°),8:53 pm ? (302°),15:10:25,?1:31,3:27 AM,11:08 PM,4:22 AM,10:13 PM,5:07 AM,9:28 PM,1:18 pm (67.5°),94.489
7/15/2021,5:43 am ? (59°),8:52 pm ? (301°),15:08:51,?1:34,3:29 AM,11:06 PM,4:23 AM,10:12 PM,5:08 AM,9:27 PM,1:18 pm (67.3°),94.484
7/16/2021,5:44 am ? (59°),8:51 pm ? (301°),15:07:13,?1:37,3:30 AM,11:05 PM,4:24 AM,10:11 PM,5:09 AM,9:26 PM,1:18 pm (67.2°),94.478
7/17/2021,5:45 am ? (59°),8:51 pm ? (301°),15:05:32,?1:40,3:32 AM,11:03 PM,4:26 AM,10:10 PM,5:10 AM,9:25 PM,1:18 pm (67.0°),94.472
7/18/2021,5:46 am ? (59°),8:50 pm ? (301°),15:03:48,?1:44,3:34 AM,11:01 PM,4:27 AM,10:09 PM,5:11 AM,9:24 PM,1:18 pm (66.8°),94.466
7/19/2021,5:47 am ? (60°),8:49 pm ? (300°),15:02:01,?1:46,3:35 AM,11:00 PM,4:28 AM,10:07 PM,5:12 AM,9:23 PM,1:18 pm (66.6°),94.459
7/20/2021,5:48 am ? (60°),8:48 pm ? (300°),15:00:11,?1:49,3:37 AM,10:58 PM,4:29 AM,10:06 PM,5:13 AM,9:22 PM,1:18 pm (66.5°),94.452
7/21/2021,5:49 am ? (60°),8:47 pm ? (300°),14:58:18,?1:52,3:39 AM,10:56 PM,4:31 AM,10:05 PM,5:15 AM,9:21 PM,1:18 pm (66.3°),94.444
7/22/2021,5:50 am ? (60°),8:46 pm ? (299°),14:56:23,?1:55,3:41 AM,10:55 PM,4:32 AM,10:04 PM,5:16 AM,9:20 PM,1:18 pm (66.1°),94.436
7/23/2021,5:51 am ? (61°),8:45 pm ? (299°),14:54:25,?1:58,3:42 AM,10:53 PM,4:33 AM,10:02 PM,5:17 AM,9:19 PM,1:18 pm (65.8°),94.428
7/24/2021,5:52 am ? (61°),8:44 pm ? (299°),14:52:24,?2:00,3:44 AM,10:51 PM,4:35 AM,10:01 PM,5:18 AM,9:18 PM,1:18 pm (65.6°),94.42
7/25/2021,5:53 am ? (61°),8:43 pm ? (298°),14:50:21,?2:03,3:46 AM,10:49 PM,4:36 AM,10:00 PM,5:19 AM,9:17 PM,1:18 pm (65.4°),94.411
7/26/2021,5:54 am ? (62°),8:42 pm ? (298°),14:48:15,?2:05,3:48 AM,10:48 PM,4:38 AM,9:58 PM,5:20 AM,9:16 PM,1:18 pm (65.2°),94.402
7/27/2021,5:55 am ? (62°),8:41 pm ? (298°),14:46:07,?2:08,3:50 AM,10:46 PM,4:39 AM,9:57 PM,5:21 AM,9:15 PM,1:18 pm (65.0°),94.392
7/28/2021,5:56 am ? (62°),8:40 pm ? (297°),14:43:56,?2:10,3:52 AM,10:44 PM,4:40 AM,9:55 PM,5:23 AM,9:13 PM,1:18 pm (64.7°),94.383
7/29/2021,5:57 am ? (63°),8:39 pm ? (297°),14:41:44,?2:12,3:53 AM,10:42 PM,4:42 AM,9:54 PM,5:24 AM,9:12 PM,1:18 pm (64.5°),94.373
7/30/2021,5:58 am ? (63°),8:38 pm ? (297°),14:39:29,?2:14,3:55 AM,10:40 PM,4:43 AM,9:52 PM,5:25 AM,9:11 PM,1:18 pm (64.3°),94.362
7/31/2021,5:59 am ? (63°),8:36 pm ? (296°),14:37:12,?2:17,3:57 AM,10:38 PM,4:45 AM,9:51 PM,5:26 AM,9:09 PM,1:18 pm (64.0°),94.352
8/1/2021,6:00 am ? (64°),8:35 pm ? (296°),14:34:53,?2:19,3:59 AM,10:36 PM,4:46 AM,9:49 PM,5:27 AM,9:08 PM,1:18 pm (63.8°),94.341
8/2/2021,6:01 am ? (64°),8:34 pm ? (296°),14:32:32,?2:21,4:01 AM,10:34 PM,4:48 AM,9:48 PM,5:29 AM,9:07 PM,1:18 pm (63.5°),94.329
8/3/2021,6:03 am ? (65°),8:33 pm ? (295°),14:30:09,?2:22,4:03 AM,10:32 PM,4:49 AM,9:46 PM,5:30 AM,9:05 PM,1:18 pm (63.2°),94.317
8/4/2021,6:04 am ? (65°),8:31 pm ? (295°),14:27:44,?2:24,4:04 AM,10:30 PM,4:50 AM,9:44 PM,5:31 AM,9:04 PM,1:18 pm (63.0°),94.304
8/5/2021,6:05 am ? (65°),8:30 pm ? (294°),14:25:17,?2:26,4:06 AM,10:28 PM,4:52 AM,9:43 PM,5:32 AM,9:02 PM,1:18 pm (62.7°),94.291
8/6/2021,6:06 am ? (66°),8:29 pm ? (294°),14:22:49,?2:28,4:08 AM,10:26 PM,4:53 AM,9:41 PM,5:34 AM,9:01 PM,1:18 pm (62.4°),94.278
8/7/2021,6:07 am ? (66°),8:27 pm ? (294°),14:20:19,?2:29,4:10 AM,10:24 PM,4:55 AM,9:39 PM,5:35 AM,8:59 PM,1:18 pm (62.1°),94.264
8/8/2021,6:08 am ? (67°),8:26 pm ? (293°),14:17:47,?2:31,4:12 AM,10:22 PM,4:56 AM,9:38 PM,5:36 AM,8:58 PM,1:17 pm (61.8°),94.25
8/9/2021,6:09 am ? (67°),8:25 pm ? (293°),14:15:14,?2:33,4:14 AM,10:20 PM,4:58 AM,9:36 PM,5:37 AM,8:56 PM,1:17 pm (61.6°),94.235
8/10/2021,6:10 am ? (67°),8:23 pm ? (292°),14:12:40,?2:34,4:15 AM,10:17 PM,4:59 AM,9:34 PM,5:39 AM,8:55 PM,1:17 pm (61.3°),94.219
8/11/2021,6:12 am ? (68°),8:22 pm ? (292°),14:10:04,?2:35,4:17 AM,10:15 PM,5:01 AM,9:32 PM,5:40 AM,8:53 PM,1:17 pm (61.0°),94.203
8/12/2021,6:13 am ? (68°),8:20 pm ? (291°),14:07:26,?2:37,4:19 AM,10:13 PM,5:02 AM,9:30 PM,5:41 AM,8:52 PM,1:17 pm (60.7°),94.187
8/13/2021,6:14 am ? (69°),8:19 pm ? (291°),14:04:48,?2:38,4:21 AM,10:11 PM,5:03 AM,9:29 PM,5:42 AM,8:50 PM,1:17 pm (60.4°),94.17
8/14/2021,6:15 am ? (69°),8:17 pm ? (291°),14:02:08,?2:39,4:23 AM,10:09 PM,5:05 AM,9:27 PM,5:44 AM,8:48 PM,1:16 pm (60.1°),94.153
8/15/2021,6:16 am ? (70°),8:16 pm ? (290°),13:59:27,?2:41,4:24 AM,10:07 PM,5:06 AM,9:25 PM,5:45 AM,8:47 PM,1:16 pm (59.7°),94.135
8/16/2021,6:17 am ? (70°),8:14 pm ? (290°),13:56:45,?2:42,4:26 AM,10:05 PM,5:08 AM,9:23 PM,5:46 AM,8:45 PM,1:16 pm (59.4°),94.117
8/17/2021,6:18 am ? (71°),8:12 pm ? (289°),13:54:01,?2:43,4:28 AM,10:02 PM,5:09 AM,9:21 PM,5:47 AM,8:43 PM,1:16 pm (59.1°),94.099
8/18/2021,6:20 am ? (71°),8:11 pm ? (289°),13:51:17,?2:44,4:29 AM,10:00 PM,5:11 AM,9:19 PM,5:49 AM,8:42 PM,1:16 pm (58.8°),94.081
8/19/2021,6:21 am ? (72°),8:09 pm ? (288°),13:48:32,?2:45,4:31 AM,9:58 PM,5:12 AM,9:18 PM,5:50 AM,8:40 PM,1:15 pm (58.4°),94.062
8/20/2021,6:22 am ? (72°),8:08 pm ? (288°),13:45:46,?2:46,4:33 AM,9:56 PM,5:14 AM,9:16 PM,5:51 AM,8:38 PM,1:15 pm (58.1°),94.043
8/21/2021,6:23 am ? (72°),8:06 pm ? (287°),13:42:58,?2:47,4:35 AM,9:54 PM,5:15 AM,9:14 PM,5:52 AM,8:37 PM,1:15 pm (57.8°),94.024
8/22/2021,6:24 am ? (73°),8:04 pm ? (287°),13:40:10,?2:48,4:36 AM,9:52 PM,5:16 AM,9:12 PM,5:54 AM,8:35 PM,1:15 pm (57.4°),94.004
8/23/2021,6:25 am ? (73°),8:03 pm ? (286°),13:37:21,?2:48,4:38 AM,9:49 PM,5:18 AM,9:10 PM,5:55 AM,8:33 PM,1:14 pm (57.1°),93.985
8/24/2021,6:26 am ? (74°),8:01 pm ? (286°),13:34:32,?2:49,4:40 AM,9:47 PM,5:19 AM,9:08 PM,5:56 AM,8:31 PM,1:14 pm (56.8°),93.965
8/25/2021,6:28 am ? (74°),7:59 pm ? (285°),13:31:41,?2:50,4:41 AM,9:45 PM,5:21 AM,9:06 PM,5:57 AM,8:29 PM,1:14 pm (56.4°),93.945
8/26/2021,6:29 am ? (75°),7:58 pm ? (285°),13:28:50,?2:51,4:43 AM,9:43 PM,5:22 AM,9:04 PM,5:58 AM,8:28 PM,1:14 pm (56.1°),93.925
8/27/2021,6:30 am ? (75°),7:56 pm ? (284°),13:25:58,?2:51,4:44 AM,9:41 PM,5:23 AM,9:02 PM,6:00 AM,8:26 PM,1:13 pm (55.7°),93.905
8/28/2021,6:31 am ? (76°),7:54 pm ? (284°),13:23:06,?2:52,4:46 AM,9:39 PM,5:25 AM,9:00 PM,6:01 AM,8:24 PM,1:13 pm (55.4°),93.885
8/29/2021,6:32 am ? (76°),7:52 pm ? (283°),13:20:13,?2:53,4:48 AM,9:36 PM,5:26 AM,8:58 PM,6:02 AM,8:22 PM,1:13 pm (55.0°),93.864
8/30/2021,6:33 am ? (77°),7:51 pm ? (283°),13:17:19,?2:53,4:49 AM,9:34 PM,5:27 AM,8:56 PM,6:03 AM,8:20 PM,1:12 pm (54.7°),93.843
8/31/2021,6:34 am ? (77°),7:49 pm ? (282°),13:14:24,?2:54,4:51 AM,9:32 PM,5:29 AM,8:54 PM,6:05 AM,8:19 PM,1:12 pm (54.3°),93.822
9/1/2021,6:36 am ? (78°),7:47 pm ? (282°),13:11:29,?2:54,4:52 AM,9:30 PM,5:30 AM,8:52 PM,6:06 AM,8:17 PM,1:12 pm (53.9°),93.8
9/2/2021,6:37 am ? (78°),7:45 pm ? (281°),13:08:34,?2:55,4:54 AM,9:28 PM,5:31 AM,8:50 PM,6:07 AM,8:15 PM,1:11 pm (53.6°),93.778
9/3/2021,6:38 am ? (79°),7:43 pm ? (281°),13:05:38,?2:55,4:55 AM,9:25 PM,5:33 AM,8:48 PM,6:08 AM,8:13 PM,1:11 pm (53.2°),93.756
9/4/2021,6:39 am ? (79°),7:42 pm ? (280°),13:02:42,?2:56,4:57 AM,9:23 PM,5:34 AM,8:46 PM,6:09 AM,8:11 PM,1:11 pm (52.8°),93.734
9/5/2021,6:40 am ? (80°),7:40 pm ? (280°),12:59:45,?2:56,4:58 AM,9:21 PM,5:35 AM,8:44 PM,6:11 AM,8:09 PM,1:10 pm (52.5°),93.711
9/6/2021,6:41 am ? (81°),7:38 pm ? (279°),12:56:48,?2:57,5:00 AM,9:19 PM,5:37 AM,8:42 PM,6:12 AM,8:07 PM,1:10 pm (52.1°),93.688
9/7/2021,6:42 am ? (81°),7:36 pm ? (279°),12:53:50,?2:57,5:01 AM,9:17 PM,5:38 AM,8:40 PM,6:13 AM,8:06 PM,1:10 pm (51.7°),93.664
9/8/2021,6:44 am ? (82°),7:34 pm ? (278°),12:50:52,?2:57,5:03 AM,9:15 PM,5:39 AM,8:38 PM,6:14 AM,8:04 PM,1:09 pm (51.3°),93.64
9/9/2021,6:45 am ? (82°),7:33 pm ? (278°),12:47:54,?2:58,5:04 AM,9:13 PM,5:41 AM,8:36 PM,6:15 AM,8:02 PM,1:09 pm (51.0°),93.616
9/10/2021,6:46 am ? (83°),7:31 pm ? (277°),12:44:55,?2:58,5:06 AM,9:10 PM,5:42 AM,8:34 PM,6:17 AM,8:00 PM,1:09 pm (50.6°),93.591
9/11/2021,6:47 am ? (83°),7:29 pm ? (277°),12:41:56,?2:58,5:07 AM,9:08 PM,5:43 AM,8:32 PM,6:18 AM,7:58 PM,1:08 pm (50.2°),93.567
9/12/2021,6:48 am ? (84°),7:27 pm ? (276°),12:38:57,?2:59,5:09 AM,9:06 PM,5:44 AM,8:31 PM,6:19 AM,7:56 PM,1:08 pm (49.8°),93.542
9/13/2021,6:49 am ? (84°),7:25 pm ? (275°),12:35:58,?2:59,5:10 AM,9:04 PM,5:46 AM,8:29 PM,6:20 AM,7:54 PM,1:08 pm (49.4°),93.516
9/14/2021,6:50 am ? (85°),7:23 pm ? (275°),12:32:58,?2:59,5:11 AM,9:02 PM,5:47 AM,8:27 PM,6:21 AM,7:52 PM,1:07 pm (49.0°),93.491
9/15/2021,6:52 am ? (85°),7:21 pm ? (274°),12:29:59,?2:59,5:13 AM,9:00 PM,5:48 AM,8:25 PM,6:22 AM,7:50 PM,1:07 pm (48.7°),93.465
9/16/2021,6:53 am ? (86°),7:20 pm ? (274°),12:26:59,?2:59,5:14 AM,8:58 PM,5:49 AM,8:23 PM,6:24 AM,7:49 PM,1:07 pm (48.3°),93.44
9/17/2021,6:54 am ? (86°),7:18 pm ? (273°),12:23:59,?3:00,5:15 AM,8:56 PM,5:51 AM,8:21 PM,6:25 AM,7:47 PM,1:06 pm (47.9°),93.414
9/18/2021,6:55 am ? (87°),7:16 pm ? (273°),12:20:59,?3:00,5:17 AM,8:54 PM,5:52 AM,8:19 PM,6:26 AM,7:45 PM,1:06 pm (47.5°),93.388
9/19/2021,6:56 am ? (87°),7:14 pm ? (272°),12:17:58,?3:00,5:18 AM,8:52 PM,5:53 AM,8:17 PM,6:27 AM,7:43 PM,1:05 pm (47.1°),93.362
9/20/2021,6:57 am ? (88°),7:12 pm ? (272°),12:14:58,?3:00,5:20 AM,8:50 PM,5:54 AM,8:15 PM,6:28 AM,7:41 PM,1:05 pm (46.7°),93.337
9/21/2021,6:58 am ? (89°),7:10 pm ? (271°),12:11:58,?3:00,5:21 AM,8:48 PM,5:56 AM,8:13 PM,6:30 AM,7:39 PM,1:05 pm (46.3°),93.311
9/22/2021,7:00 am ? (89°),7:08 pm ? (271°),12:08:57,?3:00,5:22 AM,8:46 PM,5:57 AM,8:11 PM,6:31 AM,7:37 PM,1:04 pm (46.0°),93.285
9/23/2021,7:01 am ? (90°),7:07 pm ? (270°),12:05:57,?3:00,5:23 AM,8:44 PM,5:58 AM,8:09 PM,6:32 AM,7:35 PM,1:04 pm (45.6°),93.259
9/24/2021,7:02 am ? (90°),7:05 pm ? (270°),12:02:56,?3:00,5:25 AM,8:42 PM,5:59 AM,8:07 PM,6:33 AM,7:34 PM,1:04 pm (45.2°),93.233
9/25/2021,7:03 am ? (91°),7:03 pm ? (269°),11:59:56,?3:00,5:26 AM,8:40 PM,6:00 AM,8:05 PM,6:34 AM,7:32 PM,1:03 pm (44.8°),93.208
9/26/2021,7:04 am ? (91°),7:01 pm ? (268°),11:56:55,?3:00,5:27 AM,8:38 PM,6:02 AM,8:03 PM,6:35 AM,7:30 PM,1:03 pm (44.4°),93.182
9/27/2021,7:05 am ? (92°),6:59 pm ? (268°),11:53:55,?3:00,5:29 AM,8:36 PM,6:03 AM,8:02 PM,6:37 AM,7:28 PM,1:03 pm (44.0°),93.156
9/28/2021,7:06 am ? (92°),6:57 pm ? (267°),11:50:54,?3:00,5:30 AM,8:34 PM,6:04 AM,8:00 PM,6:38 AM,7:26 PM,1:02 pm (43.6°),93.13
9/29/2021,7:08 am ? (93°),6:56 pm ? (267°),11:47:54,?3:00,5:31 AM,8:32 PM,6:05 AM,7:58 PM,6:39 AM,7:24 PM,1:02 pm (43.2°),93.104
9/30/2021,7:09 am ? (93°),6:54 pm ? (266°),11:44:53,?3:00,5:32 AM,8:30 PM,6:07 AM,7:56 PM,6:40 AM,7:22 PM,1:02 pm (42.8°),93.078
10/1/2021,7:10 am ? (94°),6:52 pm ? (266°),11:41:53,?3:00,5:34 AM,8:28 PM,6:08 AM,7:54 PM,6:41 AM,7:21 PM,1:01 pm (42.5°),93.052
10/2/2021,7:11 am ? (94°),6:50 pm ? (265°),11:38:53,?3:00,5:35 AM,8:26 PM,6:09 AM,7:52 PM,6:42 AM,7:19 PM,1:01 pm (42.1°),93.026
10/3/2021,7:12 am ? (95°),6:48 pm ? (265°),11:35:53,?2:59,5:36 AM,8:24 PM,6:10 AM,7:50 PM,6:44 AM,7:17 PM,1:01 pm (41.7°),93
10/4/2021,7:14 am ? (96°),6:47 pm ? (264°),11:32:53,?2:59,5:38 AM,8:22 PM,6:11 AM,7:49 PM,6:45 AM,7:15 PM,1:00 pm (41.3°),92.974
10/5/2021,7:15 am ? (96°),6:45 pm ? (264°),11:29:54,?2:59,5:39 AM,8:21 PM,6:13 AM,7:47 PM,6:46 AM,7:14 PM,1:00 pm (40.9°),92.947
10/6/2021,7:16 am ? (97°),6:43 pm ? (263°),11:26:55,?2:59,5:40 AM,8:19 PM,6:14 AM,7:45 PM,6:47 AM,7:12 PM,1:00 pm (40.5°),92.92
